it	posterior	prior	PP_lik	BD_lik	q_rate	alpha	k_birth	k_death	root_age	death_age	tot_length	Canis_TS	Canis_adustus_TS	Canis_anthus_TS	Canis_apolloniensis_TS	Canis_armbrusteri_TS	Canis_aureus_TS	Canis_cedazoensis_TS	Canis_dirus_TS	Canis_edwardii_TS	Canis_familiaris_TS	Canis_ferox_TS	Canis_latrans_TS	Canis_lepophagus_TS	Canis_lupus_TS	Canis_mesomelas_TS	Canis_proplatensis_TS	Canis_(Pseudalopex)_TS	Canis_rufus_TS	Canis_thooides_TS	Pseudalopex_gymnocercus_TS	Canis_TE	Canis_adustus_TE	Canis_anthus_TE	Canis_apolloniensis_TE	Canis_armbrusteri_TE	Canis_aureus_TE	Canis_cedazoensis_TE	Canis_dirus_TE	Canis_edwardii_TE	Canis_familiaris_TE	Canis_ferox_TE	Canis_latrans_TE	Canis_lepophagus_TE	Canis_lupus_TE	Canis_mesomelas_TE	Canis_proplatensis_TE	Canis_(Pseudalopex)_TE	Canis_rufus_TE	Canis_thooides_TE	Pseudalopex_gymnocercus_TE
23000	-1407.7857898985901	-15.182583633356915	-1327.1642221941897	-65.438984071043478	8.1238346047341903	1.0	1	1	22.694978805469368	0.0	93.076837816455637	13.752042903251894	3.5735904834982382	1.1308276381465729	1.7050275132136632	1.7737276452500268	3.2276372078869113	1.4160561153403242	2.380980570361201	22.694978805469368	2.1027279848140479	9.1200250837744044	4.5959560424306396	5.1557513715019878	3.4997473032795807	5.2628607973030528	2.3386326799675468	1.3022925011080115	4.1730032792291665	4.3160902420066005	1.2008461983648431	5.0057932788368951e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6452468586932292	0.0	0.0	0.0	0.0006676331164184356
24000	-1405.5384609259538	-14.483596533623498	-1324.6350736020745	-66.419790790255774	7.4035147589378898	1.0	1	1	22.822352499147172	0.0	92.627649462040054	13.736247599952177	3.4697486577890437	1.2663448567533218	1.7038274391640091	1.5902485585106096	3.0440399401517548	1.2912963578842644	2.6503844295810532	22.822352499147172	2.1942016561559825	9.1335613562712243	4.2365273966427726	5.3151561550151882	3.5065366494454304	5.331380350704217	1.9829247857963286	1.4600078786000816	4.1063231049926312	4.6254705353733563	1.1022460176912783	5.0057932788368951e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9404590725326463	0.0	0.0	0.0	0.0006676331164184356
25000	-1396.7696527410919	-14.385403842615302	-1318.6084091428784	-63.775839755598327	7.3395080521957601	1.0	1	1	22.78177068432479	0.0	91.84934908312556	13.765806372393516	3.317665190723095	1.1782933411653231	1.81822465889601	1.6110896973528634	3.0719147225861265	1.2945664506166177	2.3851825835295117	22.78177068432479	2.0225623682062031	9.0141306929789273	4.1121060926070516	5.0590280881789083	3.5143512474087673	5.2666456153544399	2.1143518696634445	1.5028414142188593	4.0956604623657373	4.4065181802968301	1.2706782075450649	5.0057932788368951e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7533211662373382	0.0	0.0	0.0	0.0006676331164184356
26000	-1398.6474487730509	-14.861863820146205	-1319.7913692873653	-63.994215665539286	7.8046158473572058	1.0	1	1	22.945690730269451	0.0	92.305617013104012	13.723649752187738	3.408197115212924	1.1410321011226772	1.7359140082561253	1.6518417942563048	3.0238768495731709	1.3720641200598496	2.4238754346036551	22.945690730269451	1.9467021532356346	9.1576749331504654	4.2389253838328251	4.9669714274702512	3.4479316773112818	5.3622405850531285	2.0308579565040734	1.4634819869374884	4.1311376174167336	4.5270519201179615	1.4469949275577854	5.0057932788368951e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8397777699763016	0.0	0.0	0.0	0.0006676331164184356
27000	-1399.6156629450188	-15.307037262807253	-1320.3028049702828	-64.005820711928891	8.2438830402586643	1.0	1	1	22.787577731992133	0.0	92.047611447008592	13.83269499620866	3.3468755764278497	1.2678822625127968	1.7399242323194328	1.6040986220288258	3.0601748582555857	1.2588617563395812	2.4355873575070635	22.787577731992133	1.9629326984159237	9.2020441181687644	4.29482394363216	5.0519661477749374	3.4804242741536511	5.5430537074367177	2.0444692402068481	1.3433336643340761	4.1152798172020431	4.3663896189414766	1.1790347451612093	5.0057932788368951e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.869100230961954	0.0	0.0	0.0	0.0006676331164184356
28000	-1405.4464038705403	-18.931533516311859	-1320.1760765347256	-66.338793819502825	8.2122516673571422	1.0	2	1	22.696240919935935	0.0	92.115460269531994	13.740960289086404	3.3533397654273691	1.4879064093609444	1.7538332294835888	1.8872079358725369	3.1211363730362285	1.3006111301450594	2.3999968710029145	22.696240919935935	1.9707269530771721	8.8749271835215229	4.2617455509254398	5.0641190518908754	3.4904390558612772	5.5793976989320822	2.0513187914825051	1.2680363939309987	4.1433339007642349	4.3085075410507416	1.3169264439531208	5.0057932788368951e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9545335281597558	0.0	0.0	0.0	0.0006676331164184356
29000	-1408.7594494342304	-17.40598740927982	-1325.9889952689671	-65.364466755983585	7.9506233659625147	1.0	2	1	22.75477355337221	0.0	93.025983368722535	13.6798907542869	3.65662965147654	1.1683844995071682	1.7063545541315808	2.0471924256558012	3.0761536434965788	1.2751256174802372	2.3877452007464144	22.75477355337221	2.0940075897009889	8.8571964886911179	4.296576234610848	5.0735806513832333	3.5079100342291349	5.3830912614857667	2.030133766366681	1.5198566607715265	4.0459332059898054	4.9282480570642253	1.4277136359160287	5.0057932788368951e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8897964265910572	0.0	0.0	0.0	0.0006676331164184356
30000	-1395.5253154276247	-15.299351750393829	-1316.064473183138	-64.161490494092959	8.1661849412148015	1.0	1	1	22.743558652138958	0.0	91.741730293578286	13.700805638902304	3.4870934060491834	1.0669308046783543	1.7048823950175178	1.7598564225516169	3.0303810637822748	1.316241670346777	2.52691085873666	22.743558652138958	2.5468135950372144	8.8811840413075984	4.1920802505254713	4.9783452849974479	3.4655088740792515	5.277336677460049	2.0033897172911175	1.3021702633700847	4.1056640733049079	4.4321768999229665	1.1725948982473151	5.0057932788368951e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9514775031195641	0.0	0.0	0.0	0.0006676331164184356
31000	-1404.8608912097386	-15.564339616242826	-1323.9601104023041	-65.336441191191625	8.367646100215886	1.0	1	1	22.737972970918975	0.0	92.332904192963028	13.693291678867912	3.3875207467047046	1.0839050224011328	1.7795279110430542	2.0280351132226739	3.126994872981895	1.2562332005560997	2.6449683760841602	22.737972970918975	2.0089049738298446	9.0879880441625005	4.1147502492063479	4.9671962437486856	3.5088322599362272	5.5078492252831976	1.9819466932715608	1.7731302768543684	4.0888836261684958	4.3845715219522088	1.0945749689355877	5.0057932788368951e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9234560921174078	0.0	0.0	0.0	0.0006676331164184356
32000	-1402.8582847997284	-14.908662144470636	-1321.8991409877631	-66.050481667494751	7.8158528418791882	1.0	1	1	22.783562337662062	0.0	92.406210317893056	13.727930815205585	3.3632022384400484	1.1870827502017924	1.6753309536222107	1.8858110079221666	3.2500589900502508	1.3203956453768424	2.3976635252851848	22.783562337662062	2.4992838096944645	8.9228604787045285	4.1481253706537293	5.0215852253136042	3.4558511507919314	5.3663104184279895	2.0683838320504027	1.416817440739961	4.3196555290286103	4.3799983326190848	1.1466024873495038	5.0057932788368951e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9295843301976972	0.0	0.0	0.0	0.0006676331164184356
