"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=canis&show=coords"
"Access Time","Fri 2017-03-24 16:44:00 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","canis"
"","timerule","major"
"","taxon_status","all"
"","show","coords"
"Elapsed Time","0.025"
"Records Found","726"
"Records Returned","726"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","lng","lat"
"195542","occ","","","20112","Canis latrans","species","44854","","Canis latrans","species","44854","Blancan","","4.9","1.8","1186","-117.099998","32.900002"
"195555","occ","","","20113","Canis sp.","genus","41198","","Canis","genus","41198","Blancan","","4.9","1.8","1186","-117.099998","32.900002"
"195581","occ","9093","","20115","Canis rufus","species","44879","","Canis rufus","species","44879","Blancan","","4.9","1.8","6294","-117.099998","32.900002"
"195613","occ","","","20117","Canis sp.","genus","41198","","Canis","genus","41198","Blancan","","4.9","1.8","1186","-117.099998","32.900002"
"195614","occ","","","20117","Canis latrans","species","44854","","Canis latrans","species","44854","Blancan","","4.9","1.8","1186","-117.099998","32.900002"
"195688","occ","","","20120","Canis latrans","species","44854","","Canis latrans","species","44854","Blancan","","4.9","1.8","1186","-117.099998","32.900002"
"195689","occ","9122","","20120","Canis rufus","species","44879","","Canis rufus","species","44879","Blancan","","4.9","1.8","6294","-117.099998","32.900002"
"195718","occ","","","20121","Canis sp.","genus","41198","","Canis","genus","41198","Blancan","","4.9","1.8","1186","-117.099998","32.900002"
"195719","occ","9130","","20121","Canis rufus","species","44879","","Canis rufus","species","44879","Blancan","","4.9","1.8","6294","-117.099998","32.900002"
"195740","occ","","","20122","Canis sp.","genus","41198","","Canis","genus","41198","Blancan","","4.9","1.8","1186","-117.099998","32.900002"
"195741","occ","","","20122","Canis latrans","species","44854","","Canis latrans","species","44854","Blancan","","4.9","1.8","1186","-117.099998","32.900002"
"195777","occ","","","20123","Canis sp.","genus","41198","","Canis","genus","41198","Irvingtonian","","1.8","0.3","1186","-117.099998","32.900002"
"195865","occ","","","20126","Canis latrans","species","44854","","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","1186","-117.099998","32.900002"
"195887","occ","","","20127","Canis latrans","species","44854","","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","1186","-117.099998","32.900002"
"195926","occ","","","20129","Canis latrans","species","44854","","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","1186","-117.099998","32.900002"
"195938","occ","","","20130","Canis latrans","species","44854","","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","1186","-117.099998","32.900002"
"195952","occ","","","20134","Canis latrans","species","44854","","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","1186","-117.099998","32.900002"
"195966","occ","","","20137","Canis latrans","species","44854","","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","3081","-100.495201","37.047699"
"196022","occ","","","20143","Canis latrans","species","44854","","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","2419","-98.099998","40.200001"
"196023","occ","9183","","20143","Canis sp.","genus","41198","","Canis","genus","41198","Irvingtonian","","1.8","0.3","2673","-98.099998","40.200001"
"196053","occ","9189","","20148","Canis edwardii","species","44838","","Canis edwardii","species","44838","Irvingtonian","","1.8","0.3","2673","-100.900002","37.099998"
"196067","occ","","","20150","Canis latrans","species","44854","","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","1022","-105.699997","39.299999"
"196068","occ","9195","","20150","Canis cf. edwardii","species","44838","","Canis edwardii","species","44838","Irvingtonian","","1.8","0.3","949","-105.699997","39.299999"
"196069","occ","","","20150","Canis sp.","genus","41198","","Canis","genus","41198","Irvingtonian","","1.8","0.3","949","-105.699997","39.299999"
"196115","occ","","","20157","Canis latrans","species","44854","","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","3211","-100.500000","36.799999"
"196213","occ","","","20166","Canis dirus","species","44837","","Canis dirus","species","44837","Irvingtonian","","1.8","0.3","3081","-100.477097","37.044701"
"196265","occ","","","20173","Canis cf. latrans","species","44854","","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","2893","-117.000000","33.900002"
"196301","occ","9235","","20178","Canis ? latrans","species","44854","","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","6294","-117.000000","33.900002"
"196351","occ","","","20187","Canis cf. latrans","species","44854","","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","2893","-117.000000","33.900002"
"196424","occ","","","20205","Canis sp.","genus","41198","","Canis","genus","41198","Irvingtonian","","1.8","0.3","2725","-117.000000","33.900002"
"196549","occ","","","20237","Canis sp.","genus","41198","","Canis","genus","41198","Irvingtonian","","1.8","0.3","2725","-117.000000","33.900002"
"196652","occ","","","20273","Canis cf. dirus","species","44837","","Canis dirus","species","44837","Irvingtonian","","1.8","0.3","2016","-117.000000","34.799999"
"196653","occ","","","20273","Canis latrans","species","44854","","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","2016","-117.000000","34.799999"
"196681","occ","","","20277","Canis sp.","genus","41198","","Canis","genus","41198","Irvingtonian","","1.8","0.3","1764","-161.899994","66.599998"
"196697","occ","","","20280","Canis latrans","species","44854","","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","1817","-114.099998","39.000000"
"196706","occ","","","20281","Canis sp.","genus","41198","","Canis","genus","41198","Irvingtonian","","1.8","0.3","2254","-87.900002","34.700001"
"196730","occ","","","20283","Canis latrans","species","44854","","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","2607","-102.300003","21.799999"
"196731","occ","","","20283","Canis n. sp. cedazoensis","species","44831","","Canis cedazoensis","species","44831","Irvingtonian","","1.8","0.3","2607","-102.300003","21.799999"
"196732","occ","","","20283","Canis dirus","species","44837","","Canis dirus","species","44837","Irvingtonian","","1.8","0.3","2607","-102.300003","21.799999"
"196759","occ","","","20285","Canis dirus","species","44837","","Canis dirus","species","44837","Irvingtonian","","1.8","0.3","1482","-103.199997","20.299999"
"196760","occ","","","20285","Canis latrans","species","44854","","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","1482","-103.199997","20.299999"
"196816","occ","9332","","20289","Canis armbrusteri","species","44827","","Canis armbrusteri","species","44827","Irvingtonian","","1.8","0.3","2673","-82.070274","28.799168"
"196842","occ","","","20290","Canis latrans","species","44854","","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","2673","-93.199997","36.000000"
"196843","occ","30223","","20290","Canis armbrusteri","species","44827","","Canis armbrusteri","species","44827","Irvingtonian","","1.8","0.3","52058","-93.199997","36.000000"
"196901","occ","","","20293","Canis cf. latrans","species","44854","","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","1462","-98.099998","39.799999"
"196932","occ","9371","","20295","Canis dirus","species","44837","","Canis dirus","species","44837","Irvingtonian","","1.8","0.3","6294","-100.300003","37.200001"
"196933","occ","","","20295","Canis latrans","species","44854","","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","1907","-100.300003","37.200001"
"196953","occ","9378","","20297","Canis lupus","species","44860","","Canis lupus","species","44860","Irvingtonian","","1.8","0.3","2673","-147.800003","64.800003"
"196982","occ","","","20299","Canis edwardii","species","44838","","Canis edwardii","species","44838","Irvingtonian","","1.8","0.3","2615","-82.199997","28.799999"
"197002","occ","9385","","20301","Canis edwardii","species","44838","","Canis edwardii","species","44838","Irvingtonian","","1.8","0.3","2673","-100.300003","37.200001"
"197033","occ","","","20302","Canis n. sp. armbrusteri","species","44827","","Canis armbrusteri","species","44827","Irvingtonian","","1.8","0.3","1628","-78.699997","39.599998"
"197034","occ","9393","","20302","Canis latrans","species","44854","","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","2673","-78.699997","39.599998"
"197092","occ","","","20303","Canis edwardii","species","44838","","Canis edwardii","species","44838","Blancan","","4.9","1.8","2252","-110.199997","32.000000"
"197140","occ","","","20308","Canis edwardii","species","44838","","Canis edwardii","species","44838","Irvingtonian","","1.8","0.3","2615","-81.821114","27.041668"
"197268","occ","","","20319","Canis edwardii","species","44838","","Canis edwardii","species","44838","Irvingtonian","","1.8","0.3","2887","-117.000000","33.900002"
"197294","occ","30196","","20322","Canis lepophagus","species","44856","","Canis lepophagus","species","44856","Blancan","","4.9","1.8","52058","-114.500000","31.700001"
"197327","occ","","","20323","Canis cf. latrans","species","44854","","Canis latrans","species","44854","Irvingtonian","Rancholabrean","1.8","0.012","2018","-117.800003","33.599998"
"197352","occ","30220","","20327","Canis latrans","species","44854","","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","52058","-120.195831","37.056667"
"197353","occ","30230","","20327","Canis dirus","species","44837","","Canis dirus","species","44837","Irvingtonian","","1.8","0.3","52058","-120.195831","37.056667"
"197378","occ","","","20329","Canis latrans","species","44854","","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","949","-105.699997","39.299999"
"197379","occ","","","20329","Canis cf. edwardii","species","44838","","Canis edwardii","species","44838","Irvingtonian","","1.8","0.3","949","-105.699997","39.299999"
"197401","occ","","","20334","Canis edwardii","species","44838","","Canis edwardii","species","44838","Irvingtonian","","1.8","0.3","2615","-82.000000","26.900000"
"197404","occ","","","20335","Canis sp.","genus","41198","","Canis","genus","41198","Irvingtonian","Rancholabrean","1.8","0.012","2018","-117.000000","34.799999"
"197441","occ","9471","","20342","Canis latrans","species","44854","","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","1319","-99.500000","33.750000"
"197442","occ","9472","","20342","Canis armbrusteri","species","44827","","Canis armbrusteri","species","44827","Irvingtonian","","1.8","0.3","1319","-99.500000","33.750000"
"197489","occ","9491","","20346","Canis lupus","species","44860","","Canis lupus","species","44860","Irvingtonian","","1.8","0.3","2673","-147.800003","64.800003"
"197498","occ","","","20347","Canis dirus","species","44837","","Canis dirus","species","44837","Irvingtonian","","1.8","0.3","1916","-102.500000","42.700001"
"197499","occ","30221","","20347","Canis latrans","species","44854","","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","52058","-102.500000","42.700001"
"197571","occ","","","20351","Canis armbrusteri","species","44827","","Canis armbrusteri","species","44827","Irvingtonian","","1.8","0.3","2615","-82.099998","29.799999"
"197572","occ","","","20351","Canis edwardii","species","44838","","Canis edwardii","species","44838","Irvingtonian","","1.8","0.3","2615","-82.099998","29.799999"
"197664","occ","9530","","20360","Canis sp.","genus","41198","","Canis","genus","41198","Middle Pleistocene","","0.781","0.126","6294","-105.750000","37.366669"
"197721","occ","","","20375","Canis sp.","genus","41198","","Canis","genus","41198","Irvingtonian","","1.8","0.3","1916","-102.500000","42.700001"
"197731","occ","30226","","20376","Canis dirus","species","44837","","Canis dirus","species","44837","Irvingtonian","","1.8","0.3","52058","-102.500000","42.700001"
"197794","occ","","","20384","Canis edwardii","species","44838","","Canis edwardii","species","44838","Blancan","","4.9","1.8","3580","-82.680000","29.000000"
"197859","occ","30228","","20387","Canis dirus","species","44837","","Canis dirus","species","44837","Irvingtonian","","1.8","0.3","52058","-122.000000","37.599998"
"197860","occ","9581","","20387","Canis latrans","species","44854","","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","6294","-122.000000","37.599998"
"197978","occ","","","20398","Canis dirus","species","44837","","Canis dirus","species","44837","Rancholabrean","","0.3","0.012","2611","-82.199997","28.799999"
"197990","occ","","","20400","Canis edwardii","species","44838","","Canis edwardii","species","44838","Irvingtonian","","1.8","0.3","1960","-82.500000","27.700001"
"197991","occ","","","20400","Canis armbrusteri","species","44827","","Canis armbrusteri","species","44827","Irvingtonian","","1.8","0.3","1960","-82.500000","27.700001"
"198018","occ","","","20401","Canis armbrusteri","species","44827","","Canis armbrusteri","species","44827","Irvingtonian","","1.8","0.3","1960","-82.500000","27.700001"
"198116","occ","","","20415","Canis armbrusteri","species","44827","","Canis armbrusteri","species","44827","Irvingtonian","","1.8","0.3","2615","-82.599998","29.400000"
"198133","occ","","","20417","Canis sp.","genus","41198","","Canis","genus","41198","Irvingtonian","","1.8","0.3","1200","-110.699997","50.099998"
"198145","occ","","","20419","Canis dirus","species","44837","","Canis dirus","species","44837","Irvingtonian","Rancholabrean","1.8","0.012","2193","-80.500000","28.100000"
"198253","occ","","","20434","Canis cf. lupus","species","44860","","Canis lupus","species","44860","Irvingtonian","","1.8","0.3","2048","-140.000000","68.199997"
"198363","occ","","","20454","Canis latrans","species","44854","","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","2725","-117.000000","33.900002"
"198476","occ","","","20477","Canis latrans","species","44854","","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","1022","-105.699997","39.299999"
"198512","occ","9703","","20479","Canis sp.","genus","41198","","Canis","genus","41198","Irvingtonian","","1.8","0.3","2673","-75.300003","40.200001"
"198513","occ","30224","","20479","Canis armbrusteri","species","44827","","Canis armbrusteri","species","44827","Irvingtonian","","1.8","0.3","52058","-75.300003","40.200001"
"198606","occ","","","20491","Canis latrans","species","44854","","Canis latrans","species","44854","Rancholabrean","","0.3","0.012","3580","-82.300003","29.100000"
"198607","occ","","","20491","Canis dirus","species","44837","","Canis dirus","species","44837","Rancholabrean","","0.3","0.012","3580","-82.300003","29.100000"
"198649","occ","","","20494","Canis edwardii","species","44838","","Canis edwardii","species","44838","Irvingtonian","","1.8","0.3","2615","-82.199997","27.000000"
"198672","occ","9737","","20498","Canis armbrusteri","species","44827","","Canis armbrusteri","species","44827","Irvingtonian","","1.8","0.3","3083","-101.300003","34.500000"
"198673","occ","9738","","20498","Canis latrans","species","44854","","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","3083","-101.300003","34.500000"
"198688","occ","","","20499","Canis edwardii","species","44838","","Canis edwardii","species","44838","Irvingtonian","","1.8","0.3","2673","-117.500000","43.599998"
"198698","occ","30227","","20500","Canis dirus","species","44837","","Canis dirus","species","44837","Irvingtonian","","1.8","0.3","52058","-102.500000","42.700001"
"198736","occ","","","20503","Canis cf. dirus","species","44837","","Canis dirus","species","44837","Irvingtonian","","1.8","0.3","2549","-103.099998","43.799999"
"198740","occ","","","20504","Canis sp.","genus","41198","","Canis","genus","41198","Irvingtonian","","1.8","0.3","2940","-107.000000","36.500000"
"198767","occ","","","20506","Canis rufus","species","44879","","Canis rufus","species","44879","Irvingtonian","","1.8","0.3","2940","-107.000000","36.500000"
"198814","occ","","","20514","Canis cf. latrans","species","44854","","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","2940","-107.000000","36.500000"
"198872","occ","","","20520","Canis dirus","species","44837","","Canis dirus","species","44837","Irvingtonian","","1.8","0.3","3567","-82.599998","29.700001"
"198920","occ","","","20528","Canis cf. edwardii","species","44838","","Canis edwardii","species","44838","Irvingtonian","","1.8","0.3","2887","-117.000000","33.900002"
"198940","occ","","","20530","Canis latrans","species","44854","","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","1304","-101.900002","33.700001"
"198941","occ","9783","","20530","Canis armbrusteri","species","44827","","Canis armbrusteri","species","44827","Irvingtonian","","1.8","0.3","6202","-101.900002","33.700001"
"198987","occ","30219","","20536","Canis edwardii","species","44838","","Canis edwardii","species","44838","Irvingtonian","","1.8","0.3","52058","-110.199997","32.000000"
"199068","occ","","","20556","Canis latrans","species","44854","","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","2896","-96.000000","42.000000"
"199069","occ","","","20556","Canis lupus","species","44860","","Canis lupus","species","44860","Irvingtonian","","1.8","0.3","2896","-96.000000","42.000000"
"199085","occ","","","20558","Canis armbrusteri","species","44827","","Canis armbrusteri","species","44827","Irvingtonian","","1.8","0.3","1794","-106.699997","32.000000"
"199126","occ","","","20559","Canis latrans","species","44854","","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","1022","-105.699997","39.299999"
"199180","occ","","","20567","Canis cf. latrans","species","44854","","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","3799","-98.199997","39.000000"
"199204","occ","","","20569","Canis latrans","species","44854","","Canis latrans","species","44854","Late Pleistocene","","0.126","0.0117","6225","-112.900002","42.799999"
"199205","occ","","","20569","Canis dirus","species","44837","","Canis dirus","species","44837","Late Pleistocene","","0.126","0.0117","1936","-112.900002","42.799999"
"199271","occ","","","20572","Canis dirus","species","44837","","Canis dirus","species","44837","Late Pleistocene","","0.126","0.0117","3567","-82.099998","29.799999"
"199309","occ","","","20573","Canis dirus","species","44837","","Canis dirus","species","44837","Late Pleistocene","","0.126","0.0117","3580","-82.416664","29.600000"
"199337","occ","","","20580","Canis dirus","species","44837","","Canis dirus","species","44837","Late Pleistocene","","0.126","0.0117","2673","-82.500000","27.500000"
"199393","occ","","","20590","Canis cf. lupus","species","44860","","Canis lupus","species","44860","Late Pleistocene","","0.126","0.0117","1785","-103.900002","50.799999"
"199413","occ","30225","","20593","Canis armbrusteri","species","44827","","Canis armbrusteri","species","44827","Late Pleistocene","","0.126","0.0117","52058","-82.099998","29.799999"
"199428","occ","","","20594","Canis dirus","species","44837","","Canis dirus","species","44837","Late Pleistocene","","0.126","0.0117","3567","-82.099998","29.799999"
"199486","occ","","","20600","Canis cf. dirus","species","44837","","Canis dirus","species","44837","Late Pleistocene","","0.126","0.0117","2727","-86.500000","39.000000"
"199487","occ","","","20600","Canis lupus","species","44860","","Canis lupus","species","44860","Late Pleistocene","","0.126","0.0117","3498","-86.500000","39.000000"
"199488","occ","","","20600","Canis cf. latrans","species","44854","","Canis latrans","species","44854","Late Pleistocene","","0.126","0.0117","2727","-86.500000","39.000000"
"199610","occ","","","20612","Canis latrans","species","44854","","Canis latrans","species","44854","Late Pleistocene","","0.126","0.0117","2501","-112.900002","42.799999"
