lng,lat
-120.195831,37.056667
-105.699997,39.299999
-82.000000,26.900000
-117.000000,34.799999
-99.500000,33.750000
-147.800003,64.800003
-102.500000,42.700001
-82.099998,29.799999
-105.750000,37.366669
-102.500000,42.700001
-102.500000,42.700001
-82.680000,29.000000
-122.000000,37.599998
-82.199997,28.799999
-82.500000,27.700001
-82.500000,27.700001
-82.599998,29.400000
-110.699997,50.099998
-80.500000,28.100000
-140.000000,68.199997
-117.000000,33.900002
-105.699997,39.299999
-75.300003,40.200001
-82.300003,29.100000
-82.199997,27.000000
-109.650002,29.683332
-101.300003,34.500000
-117.500000,43.599998
-102.500000,42.700001
