"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.txt?datainfo&rowcount&base_name=Strigiformes&limit=100"
"Access Time","Fri 2017-02-03 20:09:28 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Strigiformes"
"","timerule","major"
"","taxon_status","all"
"","limit","100"
"Elapsed Time","0.00155"
"Records Found","216"
"Records Returned","100"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"375110","occ","","","35431","Asio aff. flammeus","species","161530","","Asio flammeus","species","161529","Early Pleistocene","","2.588","0.781","9534"
"375592","occ","","","35457","Surnia robusta","species","130718","species not entered","Surnia","genus","130718","Early Pleistocene","","2.588","0.781","9534"
"375593","occ","","","35457","Athene noctua","species","94499","species not entered","Athene","genus","94499","Early Pleistocene","","2.588","0.781","9534"
"411709","occ","","","39817","Bubo n. sp. longaevus","species","58496","species not entered","Bubo","genus","58496","Late Miocene","Pleistocene","11.608","0.0117","10787"
"479598","occ","","","44231","Bubo sp.","genus","58496","","Bubo","genus","58496","Pliocene","Pleistocene","5.333","0.0117","12578"
"507140","occ","","","51475","Strigidae indet.","family","39403","","Strigidae","family","39403","Pliocene","Pleistocene","5.333","0.0117","13691"
"507170","occ","","","51478","Athene sp.","genus","94499","","Athene","genus","94499","Pliocene","Pleistocene","5.333","0.0117","13691"
"507224","occ","","","51483","Bubo cf. insularis","species","94498","","Bubo insularis","species","94498","Middle Pleistocene","Late Pleistocene","0.781","0.0117","13691"
"507225","occ","","","51483","Strigidae indet.","family","39403","","Strigidae","family","39403","Middle Pleistocene","Late Pleistocene","0.781","0.0117","13691"
"507509","occ","","","51504","Athene sp.","genus","94499","","Athene","genus","94499","Middle Pleistocene","Late Pleistocene","0.781","0.0117","13691"
"507932","occ","","","51552","Bubo cf. insularis","species","94498","","Bubo insularis","species","94498","Late Pleistocene","","0.126","0.0117","13691"
"507933","occ","","","51552","Athene sp.","genus","94499","","Athene","genus","94499","Late Pleistocene","","0.126","0.0117","13691"
"507934","occ","","","51552","Strigidae indet.","family","39403","","Strigidae","family","39403","Late Pleistocene","","0.126","0.0117","13691"
"507964","occ","","","51553","Bubo cf. insularis","species","94498","","Bubo insularis","species","94498","Late Pleistocene","","0.126","0.0117","13691"
"608952","occ","","","65173","Protostrigidae indet.","family","39400","","Protostrigidae","family","39400","Rupelian","","33.9","28.1","18782"
"623938","occ","","","20495","Strix brea","species","39404","species not entered","Strix","genus","39404","Rancholabrean","","0.3","0.012","19165"
"639305","occ","","","68814","Tyto balearica","species","94154","","Tyto balearica","species","94154","Late Pliocene","Early Pleistocene","3.6","0.781","19858"
"639306","occ","","","68812","Tyto n. sp. balearica","species","94154","","Tyto balearica","species","94154","Late Pliocene","","3.6","2.588","19858"
"639310","occ","","","68813","Tyto balearica","species","94154","","Tyto balearica","species","94154","Late Pliocene","Early Pleistocene","3.6","0.781","19858"
"641094","occ","","","69062","Bubo insularis","species","94498","","Bubo insularis","species","94498","Middle Pleistocene","","0.781","0.126","19913"
"641095","occ","","","69062","Otus sp.","genus","39406","","Otus","genus","39406","Middle Pleistocene","","0.781","0.126","19913"
"641096","occ","","","69062","Athene informal n. sp. Salotti et al. 1997","species","94499","species not entered","Athene","genus","94499","Middle Pleistocene","","0.781","0.126","19913"
"641097","occ","","","69062","Tyto balearica","species","94154","","Tyto balearica","species","94154","Middle Pleistocene","","0.781","0.126","19913"
"641098","occ","","","69062","Tyto alba","species","94500","","Tyto alba","species","94500","Middle Pleistocene","","0.781","0.126","19913"
"665502","occ","","","16692","Protostrix n. sp. californiensis","species","99554","","Protostrix californiensis","species","99554","Early Uintan","","46.2","40.4","24231"
"665538","occ","","","71670","Tyto alba","species","94500","","Tyto alba","species","94500","Late Pleistocene","","0.126","0.0117","24234"
"665539","occ","","","71670","Bubo virginianus","species","161527","","Bubo virginianus","species","161526","Late Pleistocene","","0.126","0.0117","24234"
"665540","occ","","","71670","Asio flammeus ?","species","161530","","Asio flammeus","species","161529","Late Pleistocene","","0.126","0.0117","24234"
"665541","occ","","","71670","Speotyto cunicularia","species","289512","","Speotyto cunicularia","species","289512","Late Pleistocene","","0.126","0.0117","24234"
"690693","occ","","","20636","Strix varia","species","133784","","Strix varia","species","133784","Late Pleistocene","","0.126","0.0117","24950"
"690698","occ","","","74295","Eostrix n. sp. martinellii","species","105109","","Eostrix martinellii","species","105109","Lysitean","","55.8","50.3","24951"
"692509","occ","","","16228","Protostrix leptosteus","species","105713","","Protostrix leptosteus","species","105712","Bridgerian","","50.3","46.2","25101"
"692527","occ","27964","","74643","Berruornis n. sp. halbedeli","species","105815","","Berruornis halbedeli","species","105815","Selandian","","61.6","59.2","25122"
"709911","occ","","","76059","cf. Otus sp.","genus","39406","","Otus","genus","39406","Late Pleistocene","","0.126","0.0117","25748"
"709912","occ","","","76059","Bubo virginianus","species","161527","","Bubo virginianus","species","161526","Late Pleistocene","","0.126","0.0117","25748"
"709988","occ","","","76060","Strix cf. occidentalis","species","39404","species not entered","Strix","genus","39404","Late Pleistocene","","0.126","0.0117","25748"
"713745","occ","","","50943","Asio pigmaea","species","161528","species not entered","Asio","genus","161528","MN 15","MN 16","4.2","2.588","24838"
"740026","occ","","","79548","Asio flammeus","species","161530","","Asio flammeus","species","161529","Late Pleistocene","","0.126","0.0117","26697"
"740528","occ","","","79630","Bubo virginianus","species","161527","","Bubo virginianus","species","161526","Pleistocene","","2.588","0.0117","26738"
"773221","occ","","","82890","Strix varia","species","133784","","Strix varia","species","133784","Late Pleistocene","","0.126","0.0117","27864"
"773222","occ","","","82890","Aegolius funereus","species","130717","species not entered","Aegolius","genus","130717","Late Pleistocene","","0.126","0.0117","27864"
"773223","occ","","","82890","Aegolius acadicus","species","289538","","Aegolius acadicus","species","289538","Late Pleistocene","","0.126","0.0117","27864"
"773224","occ","","","82890","Surnia ulula","species","130718","species not entered","Surnia","genus","130718","Late Pleistocene","","0.126","0.0117","27864"
"781737","occ","","","84181","Otus asio","species","133783","","Otus asio","species","133782","Late Pleistocene","","0.126","0.0117","28198"
"781738","occ","","","84181","Strix cf. varia","species","133784","","Strix varia","species","133784","Late Pleistocene","","0.126","0.0117","28198"
"804808","occ","","","87814","Sceloglaux albifacies","species","143819","","Sceloglaux albifacies","species","143818","Late Pleistocene","","0.126","0.0117","29521"
"826625","occ","","","14967","n. gen. Ogygoptynx n. sp. wetmorei","species","153540","","Ogygoptynx wetmorei","species","153540","Tiffanian","","61.7","56.8","30666"
"835157","occ","","","92733","Tyto alba","species","94500","","Tyto alba","species","94500","Holocene","","0.0117","0","31261"
"835158","occ","","","92733","Otus rutilus","species","39406","species not entered","Otus","genus","39406","Holocene","","0.0117","0","31261"
"837019","occ","","","92812","Tyto noeli","species","39409","species not entered","Tyto","genus","39409","Late Pleistocene","","0.126","0.0117","31330"
"838750","occ","","","93103","Tyto alba","species","94500","","Tyto alba","species","94500","Late Pleistocene","","0.126","0.0117","3185"
"841413","occ","","","93281","Bubo virginianus","species","161527","","Bubo virginianus","species","161526","Late Pleistocene","","0.126","0.0117","31547"
"841414","occ","","","93281","Asio flammeus","species","161530","","Asio flammeus","species","161529","Late Pleistocene","","0.126","0.0117","31547"
"841935","occ","","","93374","Otus sp.","genus","39406","","Otus","genus","39406","Late Pleistocene","Holocene","0.126","0","31595"
"841936","occ","","","93374","Micrathene whitneyi","species","161742","species not entered","Micrathene","genus","161742","Late Pleistocene","Holocene","0.126","0","31595"
"841937","occ","","","93374","Asio otus","species","161528","species not entered","Asio","genus","161528","Late Pleistocene","Holocene","0.126","0","31595"
"851060","occ","","","94615","Athene cunicularia","species","94499","species not entered","Athene","genus","94499","Holocene","","0.0117","0","32225"
"915197","occ","","","103991","Otus asio","species","133783","","Otus asio","species","133782","Late Pleistocene","","0.126","0.0117","35027"
"915198","occ","","","103991","Bubo virginianus","species","161527","","Bubo virginianus","species","161526","Late Pleistocene","","0.126","0.0117","35027"
"915199","occ","","","103991","Asio cf. flammeus","species","161530","","Asio flammeus","species","161529","Late Pleistocene","","0.126","0.0117","35027"
"915200","occ","","","103991","Aegolius acadicus","species","289538","","Aegolius acadicus","species","289538","Late Pleistocene","","0.126","0.0117","35027"
"919210","occ","","","104035","Otus asio","species","133783","","Otus asio","species","133782","Late Pleistocene","Holocene","0.126","0","1461"
"919211","occ","","","104035","Aegolius acadicus","species","289538","","Aegolius acadicus","species","289538","Late Pleistocene","Holocene","0.126","0","1461"
"919212","occ","","","104035","Strigidae indet.","family","39403","","Strigidae","family","39403","Late Pleistocene","Holocene","0.126","0","1461"
"919579","occ","","","104697","Bubo virginianus","species","161527","","Bubo virginianus","species","161526","Late Pleistocene","","0.126","0.0117","1461"
"929640","occ","","","106325","Minerva n. sp. saurodosis","species","105716","recombined as","Protostrix saurodosis","species","105716","Bridgerian","","50.3","46.2","35472"
"946459","occ","","","110072","Strigiformes indet.","order","39397","","Strigiformes","order","39397","Late Pleistocene","","0.126","0.0117","36280"
"946476","occ","","","110073","Strigiformes indet.","order","39397","","Strigiformes","order","39397","Holocene","","0.0117","0","36280"
"946487","occ","","","110074","Strigidae indet.","family","39403","","Strigidae","family","39403","Holocene","","0.0117","0","36280"
"946494","occ","","","110076","Strigiformes indet.","order","39397","","Strigiformes","order","39397","Holocene","","0.0117","0","36280"
"946500","occ","","","89311","Strigiformes indet.","order","39397","","Strigiformes","order","39397","Late Pleistocene","","0.126","0.0117","36280"
"946507","occ","","","110077","Asio flammeus","species","161530","","Asio flammeus","species","161529","Holocene","","0.0117","0","36280"
"968712","occ","","","114684","n. gen. Heterostrix n. sp. tatsinensis","species","196304","","Heterostrix tatsinensis","species","196304","Early Oligocene","","33.9","28.4","37157"
"968713","occ","","","114685","Eostrix n. sp. tsaganica","species","196301","","Eostrix tsaganica","species","196301","Early Eocene","","55.8","48.6","37157"
"971781","occ","","","32052","Strigidae indet.","family","39403","","Strigidae","family","39403","Late Pliocene","","3.6","2.588","37350"
"986252","occ","","","87925","Berruornis orbisantiqui","species","202884","","Berruornis orbisantiqui","species","202884","Thanetian","","59.2","56","38102"
"986708","occ","","","68428","n. gen. Berruornis n. sp. orbisantiqui","species","202884","","Berruornis orbisantiqui","species","202884","Thanetian","","59.2","56","38102"
"1020781","occ","","","93837","Bubo bubo","species","58496","species not entered","Bubo","genus","58496","Late Pleistocene","","0.126","0.0117","40497"
"1020833","occ","","","124956","Asio flammeus","species","161530","","Asio flammeus","species","161529","Pleistocene","","2.588","0.0117","40497"
