"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.txt?datainfo&rowcount&base_name=canis&taxon_reso=species&limit=100"
"Access Time","Fri 2017-02-03 22:01:43 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","canis"
"","idreso","species"
"","timerule","major"
"","taxon_status","all"
"","limit","100"
"Elapsed Time","0.0168"
"Records Found","473"
"Records Returned","100"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"195688","occ","","","20120","Canis latrans","species","44854","","Canis latrans","species","44854","Blancan","","4.9","1.8","1186"
"195689","occ","9122","","20120","Canis rufus","species","44879","","Canis rufus","species","44879","Blancan","","4.9","1.8","6294"
"195719","occ","9130","","20121","Canis rufus","species","44879","","Canis rufus","species","44879","Blancan","","4.9","1.8","6294"
"195741","occ","","","20122","Canis latrans","species","44854","","Canis latrans","species","44854","Blancan","","4.9","1.8","1186"
"195865","occ","","","20126","Canis latrans","species","44854","","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","1186"
"195887","occ","","","20127","Canis latrans","species","44854","","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","1186"
"195926","occ","","","20129","Canis latrans","species","44854","","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","1186"
"195938","occ","","","20130","Canis latrans","species","44854","","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","1186"
"195952","occ","","","20134","Canis latrans","species","44854","","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","1186"
"195966","occ","","","20137","Canis latrans","species","44854","","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","3081"
"196022","occ","","","20143","Canis latrans","species","44854","","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","2419"
"196053","occ","9189","","20148","Canis edwardii","species","44838","","Canis edwardii","species","44838","Irvingtonian","","1.8","0.3","2673"
"196067","occ","","","20150","Canis latrans","species","44854","","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","1022"
