Canis armbrusteri,species,1.8,0.3,-101.900002,33.700001
Canis edwardii,species,1.8,0.3,-110.199997,32.000000
Canis latrans,species,1.8,0.3,-96.000000,42.000000
Canis lupus,species,1.8,0.3,-96.000000,42.000000
Canis armbrusteri,species,1.8,0.3,-106.699997,32.000000
Canis latrans,species,1.8,0.3,-105.699997,39.299999
Canis latrans,species,1.8,0.3,-98.199997,39.000000
Canis latrans,species,0.126,0.0117,-112.900002,42.799999
Canis dirus,species,0.126,0.0117,-112.900002,42.799999
Canis dirus,species,0.126,0.0117,-82.099998,29.799999
Canis dirus,species,0.126,0.0117,-82.416664,29.600000
Canis dirus,species,0.126,0.0117,-82.500000,27.500000
Canis lupus,species,0.126,0.0117,-103.900002,50.799999
Canis armbrusteri,species,0.126,0.0117,-82.099998,29.799999
Canis dirus,species,0.126,0.0117,-82.099998,29.799999
Canis dirus,species,0.126,0.0117,-86.500000,39.000000
Canis lupus,species,0.126,0.0117,-86.500000,39.000000
Canis latrans,species,0.126,0.0117,-86.500000,39.000000
Canis latrans,species,0.126,0.0117,-112.900002,42.799999
Canis lupus,species,0.126,0.0117,-110.699997,50.099998
Canis latrans,species,0.126,0.0117,-105.000000,37.299999
Canis dirus,species,0.126,0.0117,-110.199997,32.000000
Canis latrans,species,0.126,0.0117,-110.199997,32.000000
Canis dirus,species,0.3,0.012,-117.800003,33.599998
Canis lupus,species,0.126,0.0117,-140.000000,68.199997
Canis dirus,species,0.126,0.0117,-118.199997,34.000000
Canis,genus,0.126,0.0117,-82.099998,29.799999
Canis latrans,species,0.126,0.0117,-106.699997,52.200001
Canis dirus,species,0.126,0.0117,-81.449997,28.716667
Canis dirus,species,0.126,0.0117,-82.199997,28.799999
Canis dirus,species,0.126,0.0117,-118.000000,34.000000
Canis dirus,species,0.126,0.0117,-111.199997,40.900002
Canis latrans,species,0.126,0.0117,-111.199997,40.900002
Canis latrans,species,0.126,0.0117,-121.500000,38.599998
Canis dirus,species,0.126,0.0117,-121.500000,38.599998
Canis latrans,species,0.126,0.0117,-120.400002,36.099998
Canis latrans,species,0.126,0.0117,-118.199997,34.000000
Canis latrans,species,0.126,0.0117,-82.199997,28.799999
Canis mesomelas,species,1.806,0.781,35.792000,4.250000
Canis mesomelas,species,5.333,0.781,36.317001,3.975000
Canis mesomelas,species,5.333,0.781,36.373001,4.067000
Canis mesomelas,species,0.0117,0,35.000000,-2.416700
Canis adustus,species,0.0117,0,35.000000,-2.416700
Canis aureus,species,0.0117,0,35.000000,-2.416700
Canis mesomelas,species,0.0117,0,28.666700,-24.600000
Canis adustus,species,0.0117,0,28.666700,-24.600000
Canis mesomelas,species,3.6,2.588,40.583302,11.136100
Canis,genus,3.6,2.588,35.222198,-3.215300
Canis,genus,3.6,2.588,35.208302,-3.215300
Canis,genus,3.6,2.588,35.202801,-3.012500
Canis,genus,3.6,2.588,35.216702,-3.201400
Canis,genus,2.588,1.806,35.211102,-3.218100
Canis,genus,3.6,2.588,35.195801,-3.251400
Canis,genus,3.6,2.588,35.213902,-3.212500
Canis,genus,3.6,2.588,35.195801,-3.255600
Canis,genus,5.333,2.588,35.206902,-3.204200
Canis,genus,3.6,2.588,35.202801,-3.211100
Canis,genus,3.6,2.588,35.197201,-3.186100
